"award","projname","projectnmbr","dateofaward","lgid","program","county"
"2189.34","","","01-SEP-16","59009","CTF","Summit"
"2208.02","","","01-SEP-16","42008","CTF","Montezuma"
"1605.83","","","01-SEP-16","17003","CTF","Dolores"
"41588.21","","","01-SEP-16","34008","CTF","La Plata"
"1391.1","","","01-SEP-16","31002","CTF","Kiowa"
"7667.37","","","01-SEP-16","19009","CTF","Eagle"
"604.52","","","01-SEP-16","63003","CTF","Yuma"
"12405.51","","","01-SEP-16","30020","CTF","Jefferson"
"1628","","","01-SEP-16","20004","CTF","Elbert"
"334.94","","","01-SEP-16","10005","CTF","Clear Creek"
"21531.66","","","01-SEP-16","64060","CTF","Boulder, Weld"
"21403.29","","","01-SEP-16","64060","CTF","Boulder, Weld"
"7232.07","","","01-SEP-16","35004","CTF","Larimer"
"45498.92","","","01-SEP-16","62011","CTF","Weld"
"14272.75","","","01-SEP-16","01009","CTF","Adams"
"13448.83","","","01-SEP-16","62012","CTF","Weld"
"1316.41","","","01-SEP-16","32010","CTF","Kit Carson"
"940.62","","","01-SEP-16","38005","CTF","Logan"
"8930.1","","","01-SEP-16","22011","CTF","Fremont"
"18116.94","","","01-SEP-16","62014","CTF","Weld"
"26290.8","","","01-SEP-16","44006","CTF","Morgan"
"55500.35","","","01-SEP-16","21026","CTF","El Paso"
"2688.83","","","01-SEP-16","45004","CTF","Otero"
"1349.08","","","01-SEP-16","25006","CTF","Grand"
"12729.94","","","01-SEP-16","62016","CTF","Weld"
"6598.38","","","01-SEP-16","59015","CTF","Summit"
"29621.5","","","01-SEP-16","39014","CTF","Mesa"
"324.43","","","01-SEP-16","37004","CTF","Lincoln"
"1167.03","","","01-SEP-16","10007","CTF","Clear Creek"
"2532.45","","","01-SEP-16","62020","CTF","Weld"
"11677.28","","","01-SEP-16","03043","CTF","Arapahoe"
"46606.43","","","01-SEP-16","30035","CTF","Jefferson"
"1148.36","","","01-SEP-16","50007","CTF","Prowers"
"4410.2","","","01-SEP-16","25008","CTF","Grand"
"144305.33","","","01-SEP-16","39020","CTF","Mesa"
"540.33","","","01-SEP-16","25014","CTF","Grand"
"230291.95","","","01-SEP-16","62022","CTF","Weld"
"60.69","","","01-SEP-16","64070","CTF","El Paso, Teller"
"1904.59","","","01-SEP-16","64070","CTF","El Paso, Teller"
"33085.24","","","01-SEP-16","03051","CTF","Arapahoe"
"336.1","","","01-SEP-16","62023","CTF","Weld"
"6926.31","","","01-SEP-16","26008","CTF","Gunnison"
"7932.29","","","01-SEP-16","19020","CTF","Eagle"
"179.72","","","01-SEP-16","50008","CTF","Prowers"
"156.38","","","01-SEP-16","31003","CTF","Kiowa"
"2259.37","","","01-SEP-16","48004","CTF","Phillips"
"4304","","","01-SEP-16","54005","CTF","Routt"
"613.86","","","01-SEP-16","44007","CTF","Morgan"
"1799.56","","","01-SEP-16","50011","CTF","Prowers"
"5246.96","","","01-SEP-16","48005","CTF","Phillips"
"240.41","","","01-SEP-16","02005","CTF","Alamosa"
"1528.81","","","01-SEP-16","25015","CTF","Grand"
"1053.83","","","01-SEP-16","15020","CTF","Delta"
"3664.47","","","01-SEP-16","62029","CTF","Weld"
"1692.19","","","01-SEP-16","37006","CTF","Lincoln"
"2045.8","","","01-SEP-16","10008","CTF","Clear Creek"
"1678.19","","","01-SEP-16","34015","CTF","La Plata"
"613.86","","","01-SEP-16","38007","CTF","Logan"
"606.85","","","01-SEP-16","07018","CTF","Boulder"
"854.26","","","01-SEP-16","64266","CTF","Larimer, Weld"
"14677.71","","","01-SEP-16","64266","CTF","Larimer, Weld"
"2784.53","","","01-SEP-16","58004","CTF","Sedgwick"
"2784.53","","","01-SEP-16","62033","CTF","Weld"
"3596.78","","","01-SEP-16","62035","CTF","Weld"
"154.05","","","01-SEP-16","36005","CTF","Las Animas"
"1724.87","","","01-SEP-16","20005","CTF","Elbert"
"548.5","","","01-SEP-16","09013","CTF","Cheyenne"
"3139.31","","","01-SEP-16","25018","CTF","Grand"
"1883.58","","","01-SEP-16","11009","CTF","Conejos"
"16111.99","","","01-SEP-16","45007","CTF","Otero"
"4796.48","","","01-SEP-16","62037","CTF","Weld"
"885.77","","","01-SEP-16","28007","CTF","Huerfano"
"62520.02","","","01-SEP-16","07020","CTF","Boulder"
"863.6","","","01-SEP-16","27005","CTF","Hinsdale"
"345859.22","","","01-SEP-16","30055","CTF","Jefferson"
"17374.71","","","01-SEP-16","50012","CTF","Prowers"
"445.8","","","01-SEP-16","18021","CTF","Douglas"
"5055.56","","","01-SEP-16","06005","CTF","Bent"
"6068.55","","","01-SEP-16","33004","CTF","Lake"
"4455.71","","","01-SEP-16","37007","CTF","Lincoln"
"48873.96","","","01-SEP-16","64085","CTF","Arapahoe, Douglas, Jefferson"
"33.84","","","01-SEP-16","64085","CTF","Arapahoe, Douglas, Jefferson"
"2903.57","","","01-SEP-16","64085","CTF","Arapahoe, Douglas, Jefferson"
"4.67","","","01-SEP-16","62038","CTF","Adams, Weld"
"12515.21","","","01-SEP-16","62038","CTF","Adams, Weld"
"2025.96","","","01-SEP-16","44009","CTF","Morgan"
"16064.14","","","01-SEP-16","18104","CTF","Douglas"
"287.09","","","01-SEP-16","64205","CTF","Boulder, Weld"
"211773.55","","","01-SEP-16","64205","CTF","Boulder, Weld"
"46790.82","","","01-SEP-16","07029","CTF","Boulder"
"170346.39","","","01-SEP-16","35026","CTF","Larimer"
"4542.07","","","01-SEP-16","07032","CTF","Boulder"
"2275.7","","","01-SEP-16","11010","CTF","Conejos"
"3216.33","","","01-SEP-16","42016","CTF","Montezuma"
"12261.96","","","01-SEP-16","21030","CTF","El Paso"
"987.31","","","01-SEP-16","45009","CTF","Otero"
"305.76","","","01-SEP-16","26010","CTF","Gunnison"
"9121.49","","","01-SEP-16","62040","CTF","Weld"
"2813.7","","","01-SEP-16","52007","CTF","Rio Blanco"
"655.87","","","01-SEP-16","38011","CTF","Logan"
"7095.53","","","01-SEP-16","62043","CTF","Weld"
"2434.42","","","01-SEP-16","19024","CTF","Eagle"
"266.08","","","01-SEP-16","55005","CTF","Saguache"
"10024.77","","","01-SEP-16","53005","CTF","Rio Grande"
"158.72","","","01-SEP-16","59028","CTF","Summit"
"22166.53","","","01-SEP-16","43004","CTF","Montrose"
"9997.93","","","01-SEP-16","21032","CTF","El Paso"
"1230.05","","","01-SEP-16","30067","CTF","Jefferson"
"3216.33","","","01-SEP-16","57027","CTF","San Miguel"
"940.62","","","01-SEP-16","26011","CTF","Gunnison"
"1244.05","","","01-SEP-16","43005","CTF","Montrose"
"10682.97","","","01-SEP-16","23012","CTF","Garfield"
"30.34","","","01-SEP-16","64198","CTF","Adams, Weld"
"90166.91","","","01-SEP-16","64198","CTF","Adams, Weld"
"644.2","","","01-SEP-16","57007","CTF","San Miguel"
"1029.32","","","01-SEP-16","62045","CTF","Weld"
"2067.97","","","01-SEP-16","54010","CTF","Routt"
"4212.97","","","01-SEP-16","43012","CTF","Montrose"
"774.91","","","01-SEP-16","13004","CTF","Crowley"
"7023.17","","","01-SEP-16","15022","CTF","Delta"
"2429.75","","","01-SEP-16","13006","CTF","Crowley"
"1092.34","","","01-SEP-16","61006","CTF","Washington"
"2350.39","","","01-SEP-16","46007","CTF","Ouray"
"742.23","","","01-SEP-16","58007","CTF","Sedgwick"
"6068.55","","","01-SEP-16","39034","CTF","Mesa"
"6073.21","","","01-SEP-16","21034","CTF","El Paso"
"77.02","","","01-SEP-16","48006","CTF","Phillips"
"1932.6","","","01-SEP-16","15025","CTF","Delta"
"99575.49","","","01-SEP-16","18028","CTF","Douglas"
"546.17","","","01-SEP-16","38016","CTF","Logan"
"2042.3","","","01-SEP-16","62046","CTF","Weld"
"79.36","","","01-SEP-16","26012","CTF","Gunnison"
"1783.22","","","01-SEP-16","08006","CTF","Chaffee"
"312.76","","","01-SEP-16","05006","CTF","Baca"
"252491.15","","","01-SEP-16","51016","CTF","Pueblo"
"296.43","","","01-SEP-16","21036","CTF","El Paso"
"235.74","","","01-SEP-16","62051","CTF","Weld"
"616.19","","","01-SEP-16","19026","CTF","Eagle"
"581.18","","","01-SEP-16","17007","CTF","Dolores"
"2205.68","","","01-SEP-16","46009","CTF","Ouray"
"21681.04","","","01-SEP-16","23017","CTF","Garfield"
"8995.45","","","01-SEP-16","45014","CTF","Otero"
"928.95","","","01-SEP-16","11013","CTF","Conejos"
"359.44","","","01-SEP-16","51018","CTF","Pueblo"
"1118.01","","","01-SEP-16","55008","CTF","Saguache"
"12641.25","","","01-SEP-16","08007","CTF","Chaffee"
"1437.78","","","01-SEP-16","12009","CTF","Costilla"
"2018.96","","","01-SEP-16","11016","CTF","Conejos"
"95.7","","","01-SEP-16","57017","CTF","San Miguel"
"331.44","","","01-SEP-16","58012","CTF","Sedgwick"
"511.16","","","01-SEP-16","32015","CTF","Kit Carson"
"8220.54","","","01-SEP-16","62053","CTF","Weld"
"200.73","","","01-SEP-16","31008","CTF","Kiowa"
"9330.39","","","01-SEP-16","03065","CTF","Arapahoe"
"7032.51","","","01-SEP-16","23019","CTF","Garfield"
"1372.42","","","01-SEP-16","14004","CTF","Custer"
"199.56","","","01-SEP-16","10009","CTF","Clear Creek"
"9606.97","","","01-SEP-16","59018","CTF","Summit"
"1526.47","","","01-SEP-16","56002","CTF","San Juan"
"1475.12","","","01-SEP-16","20006","CTF","Elbert"
"6740.75","","","01-SEP-16","49012","CTF","Pitkin"
"861.27","","","01-SEP-16","53013","CTF","Rio Grande"
"1626.84","","","01-SEP-16","05011","CTF","Baca"
"121.37","","","01-SEP-16","36010","CTF","Las Animas"
"28687.88","","","01-SEP-16","54023","CTF","Routt"
"33101.58","","","01-SEP-16","38019","CTF","Logan"
"1542.81","","","01-SEP-16","32020","CTF","Kit Carson"
"578.85","","","01-SEP-16","13007","CTF","Crowley"
"30008.96","","","01-SEP-16","64183","CTF","Boulder, Jefferson"
"1402.77","","","01-SEP-16","45015","CTF","Otero"
"5734.78","","","01-SEP-16","57014","CTF","San Miguel"
"285392","","","01-SEP-16","64264","CTF","Adams, Weld"
"4614.43","","","01-SEP-16","35044","CTF","Larimer, Weld"
"18978.21","","","01-SEP-16","36011","CTF","Las Animas"
"47.85","","","01-SEP-16","05016","CTF","Baca"
"6208.59","","","01-SEP-16","19038","CTF","Eagle"
"875.27","","","01-SEP-16","60012","CTF","Teller"
"127.21","","","01-SEP-16","05019","CTF","Baca"
"247.41","","","01-SEP-16","32023","CTF","Kit Carson"
"1407.44","","","01-SEP-16","29006","CTF","Jackson"
"3384.38","","","01-SEP-16","28010","CTF","Huerfano"
"609.19","","","01-SEP-16","05023","CTF","Baca"
"359.44","","","01-SEP-16","07042","CTF","Boulder"
"16779.53","","","01-SEP-16","35047","CTF","Larimer"
"1335.08","","","01-SEP-16","14005","CTF","Custer"
"92957.27","","","01-SEP-16","64153","CTF","Adams, Jefferson"
"97711.74","","","01-SEP-16","64153","CTF","Adams, Jefferson"
"72607.81","","","01-SEP-16","30093","CTF","Jefferson"
"2084.31","","","01-SEP-16","44016","CTF","Morgan"
"898.61","","","01-SEP-16","50017","CTF","Prowers"
"1535.81","","","01-SEP-16","22019","CTF","Fremont"
"37643.65","","","01-SEP-16","64225","CTF","Larimer, Weld"
"13080.05","","","01-SEP-16","64225","CTF","Larimer, Weld"
"1101.67","","","01-SEP-16","25025","CTF","Grand"
"18868.51","","","01-SEP-16","60015","CTF","Teller"
"5531.71","","","01-SEP-16","63010","CTF","Yuma"
"1019.98","","","01-SEP-16","54030","CTF","Routt"
"8290.57","","","01-SEP-16","63017","CTF","Yuma"
"168132.54","","","01-SEP-16","01001","CTF","Adams"
"15526.14","","","01-SEP-16","02001","CTF","Alamosa"
"150915.38","","","01-SEP-16","03001","CTF","Arapahoe"
"23365.07","","","01-SEP-16","04001","CTF","Archuleta"
"1726.03","","","01-SEP-16","05001","CTF","Baca"
"7872.77","","","01-SEP-16","06001","CTF","Bent"
"102844.33","","","01-SEP-16","07003","CTF","Boulder"
"22287.9","","","01-SEP-16","08003","CTF","Chaffee"
"1818.23","","","01-SEP-16","09002","CTF","Cheyenne"
"9102.82","","","01-SEP-16","10003","CTF","Clear Creek"
"10304.86","","","01-SEP-16","11004","CTF","Conejos"
"4521.07","","","01-SEP-16","12003","CTF","Costilla"
"8778.38","","","01-SEP-16","13001","CTF","Crowley"
"25217.14","","","01-SEP-16","15006","CTF","Delta"
"2324.72","","","01-SEP-16","17002","CTF","Dolores"
"276167.82","","","01-SEP-16","18008","CTF","Douglas"
"28566.51","","","01-SEP-16","19011","CTF","Eagle"
"34526.52","","","01-SEP-16","20001","CTF","Elbert"
"41035.03","","","01-SEP-16","22013","CTF","Fremont"
"48205.25","","","01-SEP-16","23005","CTF","Garfield"
"11630.6","","","01-SEP-16","24005","CTF","Gilpin"
"12503.54","","","01-SEP-16","25009","CTF","Grand"
"931.29","","","01-SEP-16","27001","CTF","Hinsdale"
"3231.5","","","01-SEP-16","28002","CTF","Huerfano"
"1832.23","","","01-SEP-16","29001","CTF","Jackson"
"263580.25","","","01-SEP-16","30047","CTF","Jefferson"
"5328.65","","","01-SEP-16","32011","CTF","Kit Carson"
"73302.19","","","01-SEP-16","34017","CTF","La Plata"
"11084.43","","","01-SEP-16","33001","CTF","Lake"
"155032.65","","","01-SEP-16","35015","CTF","Larimer"
"5933.17","","","01-SEP-16","37008","CTF","Lincoln"
"15444.45","","","01-SEP-16","38008","CTF","Logan"
"162334.75","","","01-SEP-16","39023","CTF","Mesa"
"963.97","","","01-SEP-16","40002","CTF","Mineral"
"34735.42","","","01-SEP-16","42017","CTF","Montezuma"
"29914.43","","","01-SEP-16","43001","CTF","Montrose"
"22243.55","","","01-SEP-16","44010","CTF","Morgan"
"12141.76","","","01-SEP-16","45012","CTF","Otero"
"5770.95","","","01-SEP-16","46005","CTF","Ouray"
"2639.82","","","01-SEP-16","48007","CTF","Phillips"
"13695.07","","","01-SEP-16","49010","CTF","Pitkin"
"6572.7","","","01-SEP-16","50014","CTF","Prowers"
"86022.79","","","01-SEP-16","51010","CTF","Pueblo"
"11840.67","","","01-SEP-16","53006","CTF","Rio Grande"
"18374.85","","","01-SEP-16","54012","CTF","Routt"
"8051.33","","","01-SEP-16","55007","CTF","Saguache"
"149.38","","","01-SEP-16","56001","CTF","San Juan"
"1582.49","","","01-SEP-16","58009","CTF","Sedgwick"
"33732.94","","","01-SEP-16","59021","CTF","Summit"
"32212.3","","","01-SEP-16","60010","CTF","Teller"
"6105.89","","","01-SEP-16","61008","CTF","Washington"
"101189.49","","","01-SEP-16","62056","CTF","Weld"
"9221.85","","","01-SEP-16","63012","CTF","Yuma"
"54758.7","","","01-SEP-16","21902","CTF","El Paso"
"161.05","","","01-SEP-16","04015","CTF","Archuleta"
"144739.47","","","01-SEP-16","30138","CTF","Jefferson"
"746.9","","","01-SEP-16","03006","CTF","Arapahoe"
"63177.64","","","01-SEP-16","03087","CTF","Arapahoe"
"339.02","","","01-SEP-16","19001","CTF","Eagle"
"92.2","","","01-SEP-16","65199","CTF","La Plata"
"2425.08","","","01-SEP-16","23032","CTF","Garfield"
"292.92","","","01-SEP-16","19004","CTF","Eagle"
"65.35","","","01-SEP-16","62082","CTF","Weld"
"1840.4","","","01-SEP-16","01082","CTF","Adams"
"4663.44","","","01-SEP-16","01102","CTF","Adams"
"2018.37","","","01-SEP-16","19006","CTF","Eagle"
"1904.59","","","01-SEP-16","12002","CTF","Costilla"
"2859.22","","","01-SEP-16","64193","CTF","Denver, Jefferson"
"2712.17","","","01-SEP-16","64193","CTF","Denver, Jefferson"
"1573.15","","","01-SEP-16","01041","CTF","Adams"
"0","","","01-SEP-16","01039","CTF","Adams, Weld"
"3000.43","","","01-SEP-16","01039","CTF","Adams, Weld"
"4.67","","","01-SEP-16","65225","CTF","Montrose"
"2199.85","","","01-SEP-16","59005","CTF","Summit"
"2849.88","","","01-SEP-16","01064","CTF","Adams"
"524","","","01-SEP-16","64170","CTF","Adams, Arapahoe"
"2643.32","","","01-SEP-16","64170","CTF","Adams, Arapahoe"
"283.59","","","01-SEP-16","05026","CTF","Baca"
"30629.81","","","01-SEP-16","22004","CTF","Fremont"
"4574.75","","","01-SEP-16","18103","CTF","Douglas"
"3075.12","","","01-SEP-16","18122","CTF","Douglas"
"33155.26","","","01-SEP-16","62074","CTF","Weld"
"10977.06","","","01-SEP-16","18044","CTF","Douglas"
"882.27","","","01-SEP-16","03012","CTF","Arapahoe"
"26566.22","","","01-SEP-16","21010","CTF","El Paso"
"4769.64","","","01-SEP-16","18053","CTF","Douglas"
"6898.3","","","01-SEP-16","03015","CTF","Arapahoe"
"942.96","","","01-SEP-16","21012","CTF","El Paso"
"998.98","","","01-SEP-16","09005","CTF","Cheyenne"
"8259.06","","","01-SEP-16","10004","CTF","Clear Creek"
"0","","","01-SEP-16","65955","CTF","Adams"
"0","","","01-SEP-16","65956","CTF","Adams"
"1010.65","","","01-SEP-16","66136","CTF","Boulder, Jefferson"
"2295.54","","","01-SEP-16","66136","CTF","Boulder, Jefferson"
"1667.68","","","01-SEP-16","21057","CTF","El Paso"
"2678.33","","","01-SEP-16","51007","CTF","Pueblo"
"3117.13","","","01-SEP-16","30016","CTF","Jefferson"
"685.05","","","01-SEP-16","18110","CTF","Douglas"
"462.14","","","01-SEP-16","59039","CTF","Summit"
"322.68","","","01-SEP-16","65210","CTF","Eagle"
"702.55","","","01-SEP-16","19051","CTF","Eagle"
"5918","","","01-SEP-16","18036","CTF","Douglas"
"2977.67","","","01-SEP-16","65200","CTF","El Paso"
"3669.14","","","01-SEP-16","65152","CTF","Eagle, Pitkin"
"7187.14","","","01-SEP-16","65152","CTF","Eagle, Pitkin"
"1324.58","","","01-SEP-16","65495","CTF","El Paso"
"645.37","","","01-SEP-16","30140","CTF","Jefferson"
"3805.68","","","01-SEP-16","03097","CTF","Arapahoe"
"647.7","","","01-SEP-16","34006","CTF","La Plata"
"736.39","","","01-SEP-16","34007","CTF","La Plata"
"813.42","","","01-SEP-16","18114","CTF","Douglas"
"1408.6","","","01-SEP-16","01065","CTF","Adams"
"3658.63","","","01-SEP-16","19015","CTF","Eagle"
"492.49","","","01-SEP-16","03036","CTF","Arapahoe"
"1122.1","","","01-SEP-16","03130","CTF","Arapahoe"
"4430.04","","","01-SEP-16","52003","CTF","Rio Blanco"
"10039.94","","","01-SEP-16","16010","CTF","Denver"
"208.9","","","01-SEP-16","34035","CTF","La Plata"
"16998.93","","","01-SEP-16","20010","CTF","Elbert"
"5073.07","","","01-SEP-16","21094","CTF","El Paso"
"12875.82","","","01-SEP-16","64119","CTF","Boulder, Larimer"
"26426.18","","","01-SEP-16","30023","CTF","Jefferson"
"991.97","","","01-SEP-16","65117","CTF","El Paso"
"109809.16","","","01-SEP-16","30028","CTF","Jefferson"
"429.47","","","01-SEP-16","30029","CTF","Jefferson"
"358.28","","","01-SEP-16","65882","CTF","Jefferson"
"420.13","","","01-SEP-16","65883","CTF","Jefferson"
"8410.77","","","01-SEP-16","18045","CTF","Douglas"
"6398.81","","","01-SEP-16","25005","CTF","Grand"
"6800.27","","","01-SEP-16","03129","CTF","Arapahoe"
"2883.73","","","01-SEP-16","25013","CTF","Grand"
"1011.81","","","01-SEP-16","07013","CTF","Boulder"
"17657.13","","","01-SEP-16","64073","CTF","Gunnison, Saguache"
"610.36","","","01-SEP-16","47006","CTF","Park"
"3588.61","","","01-SEP-16","03024","CTF","Arapahoe"
"986.14","","","01-SEP-16","18102","CTF","Douglas"
"515.83","","","01-SEP-16","65297","CTF","Adams"
"115775","","","01-SEP-16","65783","CTF","Douglas"
"7501.66","","","01-SEP-16","65065","CTF","Huerfano"
"142271.2","","","01-SEP-16","01013","CTF","Adams"
"181.47","","","01-SEP-16","47008","CTF","Park"
"12626.07","","","01-SEP-16","30116","CTF","Jefferson"
"3547.76","","","01-SEP-16","18042","CTF","Douglas"
"379.28","","","01-SEP-16","46013","CTF","Ouray"
"275.42","","","01-SEP-16","04018","CTF","Archuleta"
"241.57","","","01-SEP-16","21081","CTF","El Paso"
"7844.76","","","01-SEP-16","18056","CTF","Douglas"
"3312.03","","","01-SEP-16","18057","CTF","Douglas"
"582.35","","","01-SEP-16","18058","CTF","Douglas"
"7","","","01-SEP-16","18059","CTF","Douglas"
"3031.94","","","01-SEP-16","18062","CTF","Douglas"
"4798.82","","","01-SEP-16","21106","CTF","El Paso"
"2245.95","","","01-SEP-16","64211","CTF","Eagle, Garfield"
"122.54","","","01-SEP-16","64211","CTF","Eagle, Garfield"
"263.75","","","01-SEP-16","30124","CTF","Jefferson"
"801.75","","","01-SEP-16","64096","CTF","Arapahoe, Jefferson"
"320.93","","","01-SEP-16","64096","CTF","Arapahoe, Jefferson"
"9134.33","","","01-SEP-16","15029","CTF","Delta"
"1688.69","","","01-SEP-16","66164","CTF","San Miguel"
"535.67","","","01-SEP-16","03059","CTF","Arapahoe"
"2541.79","","","01-SEP-16","21074","CTF","El Paso"
"1147.19","","","01-SEP-16","39035","CTF","Mesa"
"4566.58","","","01-SEP-16","23029","CTF","Garfield"
"7815.59","","","01-SEP-16","03103","CTF","Arapahoe"
"4680.95","","","01-SEP-16","22022","CTF","Fremont"
"1581.32","","","01-SEP-16","18029","CTF","Douglas"
"1789.05","","","01-SEP-16","18112","CTF","Douglas"
"722.39","","","01-SEP-16","30105","CTF","Jefferson"
"5105.75","","","01-SEP-16","30075","CTF","Jefferson"
"11461.38","","","01-SEP-16","30148","CTF","Jefferson"
"35251.24","","","01-SEP-16","51015","CTF","Pueblo"
"46.68","","","01-SEP-16","34024","CTF","La Plata"
"1249.89","","","01-SEP-16","01066","CTF","Adams"
"7865.77","","","01-SEP-16","18055","CTF","Douglas"
"666.37","","","01-SEP-16","04014","CTF","Archuleta"
"225.24","","","01-SEP-16","36018","CTF","Las Animas"
"5139.59","","","01-SEP-16","03067","CTF","Arapahoe"
"5994.44","","","01-SEP-16","47021","CTF","Park"
"146009.19","","","01-SEP-16","64126","CTF","Arapahoe, Denver, Douglas, Jefferson"
"2903.57","","","01-SEP-16","64126","CTF","Arapahoe, Denver, Douglas, Jefferson"
"26316.48","","","01-SEP-16","64126","CTF","Arapahoe, Denver, Douglas, Jefferson"
"2128.66","","","01-SEP-16","05010","CTF","Baca"
"254.41","","","01-SEP-16","10010","CTF","Clear Creek"
"0","","","01-SEP-16","65844","CTF","Weld"
"0","","","01-SEP-16","65845","CTF","Weld"
"0","","","01-SEP-16","65846","CTF","Weld"
"1319.91","","","01-SEP-16","54017","CTF","Routt"
"9295.38","","","01-SEP-16","18043","CTF","Douglas"
"1860.24","","","01-SEP-16","64135","CTF","Adams, Arapahoe"
"4186.13","","","01-SEP-16","64135","CTF","Adams, Arapahoe"
"1125.01","","","01-SEP-16","03076","CTF","Arapahoe"
"136.54","","","01-SEP-16","59032","CTF","Summit"
"1143.69","","","01-SEP-16","62104","CTF","Larimer, Weld"
"24188.99","","","01-SEP-16","62104","CTF","Larimer, Weld"
"3910.71","","","01-SEP-16","21061","CTF","El Paso"
"113.2","","","01-SEP-16","05014","CTF","Baca"
"6468.84","","","01-SEP-16","19032","CTF","Eagle"
"266.08","","","01-SEP-16","05018","CTF","Baca"
"5657.75","","","01-SEP-16","62123","CTF","Weld"
"1095.84","","","01-SEP-16","05022","CTF","Baca"
"1396.93","","","01-SEP-16","30111","CTF","Jefferson"
"28069.94","","","01-SEP-16","19039","CTF","Eagle"
"3272.35","","","01-SEP-16","52019","CTF","Rio Blanco"
"273.08","","","01-SEP-16","47015","CTF","Park"
"57.18","","","01-SEP-16","59023","CTF","Summit"
"7900.78","","","01-SEP-16","21089","CTF","El Paso"
"4894.54","","","01-SEP-16","01049","CTF","Adams"
"1367.76","","","01-SEP-16","03033","CTF","Arapahoe"
"732.89","","","01-SEP-16","41005","CTF","Moffat"
"11226.81","","","01-SEP-16","62008","CTF","Weld"
"76030.7","","","01-SEP-16","03041","CTF","Arapahoe"
"799.41","","","01-SEP-16","47005","CTF","Park"
"360775","","","01-SEP-16","35009","CTF","Larimer"
"1797.22","","","01-SEP-16","03134","CTF","Arapahoe"
"567.18","","","01-SEP-16","62018","CTF","Weld"
"23018.46","","","01-SEP-16","23008","CTF","Garfield"
"1015.31","","","01-SEP-16","30065","CTF","Jefferson"
"3496.42","","","01-SEP-16","07033","CTF","Boulder"
"1636.17","","","01-SEP-16","43007","CTF","Montrose"
"445.8","","","01-SEP-16","57008","CTF","San Miguel"
"4121.94","","","01-SEP-16","04006","CTF","Archuleta"
"1279.06","","","01-SEP-16","23013","CTF","Garfield"
"6117.56","","","01-SEP-16","62050","CTF","Weld"
"2758.85","","","01-SEP-16","52015","CTF","Rio Blanco"
"1160.03","","","01-SEP-16","22018","CTF","Fremont"
"7499.32","","","01-SEP-16","14001","CTF","Custer"
"316377.76","","","01-SEP-16","21019","CTF","El Paso"
"8843.74","","","01-SEP-16","26006","CTF","Gunnison"
"1484.46","","","01-SEP-16","31004","CTF","Kiowa"
"11792.82","","","01-SEP-16","36006","CTF","Las Animas"
"8783.05","","","01-SEP-16","41007","CTF","Moffat"
"30060.3","","","01-SEP-16","47012","CTF","Park"
"2146.16","","","01-SEP-16","52016","CTF","Rio Blanco"
"6433.82","","","01-SEP-16","57010","CTF","San Miguel"
"137.71","","","01-SEP-16","64119","CTF","Boulder, Larimer"
"1866.08","","","01-SEP-16","34011","CTF","La Plata"
"19335.32","","","01-SEP-16","16011","CTF","Denver"
"68.85","","","01-SEP-16","64073","CTF","Gunnison, Saguache"
"2615.31","","","01-SEP-16","18083","CTF","Douglas"
"3628.29","","","01-SEP-16","30057","CTF","Jefferson"
"224.07","","","01-SEP-16","18024","CTF","Douglas"
"1203.21","","","01-SEP-16","18061","CTF","Douglas"
"36293.4","","","01-SEP-16","43003","CTF","Montrose"
"1283.28","","","01-DEC-16","36001","CTF","Las Animas"
"4514.26","","","01-DEC-16","61002","CTF","Washington"
"24419.87","","","01-DEC-16","02003","CTF","Alamosa"
"367.03","","","01-DEC-16","47001","CTF","Park"
"2060.22","","","01-DEC-16","11001","CTF","Conejos"
"517.06","","","01-DEC-16","37002","CTF","Lincoln"
"4060.15","","","01-DEC-16","64009","CTF","Adams, Jefferson"
"148113.25","","","01-DEC-16","64009","CTF","Adams, Jefferson"
"18324.95","","","01-DEC-16","49006","CTF","Pitkin"
"4318.69","","","01-DEC-16","62003","CTF","Weld"
"886.78","","","01-DEC-16","64010","CTF","Adams, Arapahoe, Douglas"
"810517.16","","","01-DEC-16","64010","CTF","Adams, Arapahoe, Douglas"
"116313.84","","","01-DEC-16","64010","CTF","Adams, Arapahoe, Douglas"
"17355.12","","","01-DEC-16","19003","CTF","Eagle"
"3970.4","","","01-DEC-16","64017","CTF","Eagle, Pitkin"
"1279.26","","","01-DEC-16","64017","CTF","Eagle, Pitkin"
"6778.09","","","01-DEC-16","34005","CTF","La Plata"
"1004.66","","","01-DEC-16","64258","CTF","Adams, Arapahoe"
"2784.91","","","01-DEC-16","64258","CTF","Adams, Arapahoe"
"178.16","","","01-DEC-16","64237","CTF","Larimer, Weld"
"15128.8","","","01-DEC-16","64237","CTF","Larimer, Weld"
"637.62","","","01-DEC-16","32001","CTF","Kit Carson"
"334.89","","","01-DEC-16","24001","CTF","Gilpin"
"500.99","","","01-DEC-16","12001","CTF","Costilla"
"2376.35","","","01-DEC-16","59002","CTF","Summit"
"924.28","","","01-DEC-16","51005","CTF","Pueblo"
"282027.34","","","01-DEC-16","07006","CTF","Boulder"
"854.63","","","01-DEC-16","64026","CTF","Arapahoe, Jefferson"
"776.93","","","01-DEC-16","64026","CTF","Arapahoe, Jefferson"
"176.82","","","01-DEC-16","36002","CTF","Las Animas"
"13092.69","","","01-DEC-16","59004","CTF","Summit"
