"award","projname","projectnmbr","dateofaward","lgid","program","county"
"200000","Georgetown Lake Dam Outlet Works Modification","07048","28-FEB-13","10007","EIAF","Clear Creek"
"170000","Georgetown Water Meter Replacement","07191","06-JUN-13","10007","EIAF","Clear Creek"
"16000","Silver Plume Land Use Code Update","07264","06-MAY-13","10009","EIAF","Clear Creek"
"10000","Georgetown / Silver Plume Regional Composting Facility PER","07271","22-MAY-13","10007","EIAF","Clear Creek"
"200000","Georgetown Biosolids Dewatering Unit","07366","18-FEB-14","10007","EIAF","Clear Creek"
"90000","Georgetown Water Treatment Plant Hydro","07461","11-JUN-14","10007","EIAF","Clear Creek"
"172935","St. Mary's Glacier W&S Dist. Water System Upgrades","07562","24-JUL-14","10011","EIAF","Clear Creek"
"50000","Clear Creek County Master Plan Update","07673","24-FEB-15","10003","EIAF","Clear Creek"
"150000","Clear Creek County Sewer District Connection","07719","24-FEB-15","10003","EIAF","Clear Creek"
"200000","Clear Creek County Horizontal Grinder Replacement","07808","08-JUN-15","10003","EIAF","Clear Creek"
"85000","Georgetown Tom Bennhoff Trail Construction","08045","24-AUG-15","10007","EIAF","Clear Creek"
"35000","Georgetown Comprehensive Plan Revision","08046","24-AUG-15","10007","EIAF","Clear Creek"
"100000","Idaho Springs East End Subarea Plan","08047","24-AUG-15","10008","EIAF","Clear Creek"
"1000000","Central Clear Creek San. Dist. WW Treatment Plant","08076","08-DEC-15","10001","EIAF","Clear Creek"
"63415","Georgetown Water Line Replacement","08156","04-AUG-16","10007","EIAF","Clear Creek"
"249770","Clear Creek County Courts Wing Remodel","08188","04-AUG-16","10003","EIAF","Clear Creek"
"663","Clear Creek County Priority Based Budgeting Scholarship","08238","27-JUL-16","10003","EIAF","Clear Creek"
"15250","Idaho Springs Economic Land Use Study","08245","15-AUG-16","10008","EIAF","Clear Creek"
"98750","Georgetown Water Line Replacement","08281","05-DEC-16","10007","EIAF","Clear Creek"
"25000","Clear Creek County Courts Remodel Design","09041","28-OCT-15","10003","EIAF","Clear Creek"
"200000","Empire Water Treatment Plant","09061","24-FEB-16","10005","EIAF","Clear Creek"
"97753","Georgetown I&I Reduction","09062","24-FEB-16","10007","EIAF","Clear Creek"
"1444619","Clear Creek County Energy Efficiency Upgrades","09099","04-APR-16","10003","EIAF","Clear Creek"
"0","Clear Creek Co. 5th Judicial DA Impacts","12-780","15-OCT-12","10003","GAME","Clear Creek"
"0","Clear Creek Co. Sheriff's Patrol Operations Costs","12-781","15-OCT-12","10003","GAME","Clear Creek"
"0","Clear Creek Co. Sheriff's Jail Operations Costs","12-782","15-OCT-12","10003","GAME","Clear Creek"
"0","Clear Creek Co. Advocates","12-783","15-OCT-12","10003","GAME","Clear Creek"
"0","Clear Creek Co. Mt. Evans Home Care & Hospice","12-784","15-OCT-12","10003","GAME","Clear Creek"
"0","Clear Creek Co. Rock House Out-Reach","12-785","15-OCT-12","10003","GAME","Clear Creek"
"0","Clear Creek Co. Advocates","13-815","28-OCT-13","10003","GAME","Clear Creek"
"0","Clear Creek Co. 5th Judicial DA Impacts","13-816","28-OCT-13","10003","GAME","Clear Creek"
"0","Clear Creek Co. Sheriff's Jail Operations Costs","13-817","28-OCT-13","10003","GAME","Clear Creek"
"0","Clear Creek Co. Home Health & Hospice","13-818","28-OCT-13","10003","GAME","Clear Creek"
"0","Clear Creek Co. Sheriff's Patrol Operations Costs","13-819","28-OCT-13","10003","GAME","Clear Creek"
"0","Clear Creek Co. Rock House Out-Reach","13-820","28-OCT-13","10003","GAME","Clear Creek"
"0","Clear Creek County 5th Judicial DA Impacts","14-876","22-OCT-14","10003","GAME","Clear Creek"
"0","Clear Creek County Sheriff's Patrol Operations","14-877","22-OCT-14","10003","GAME","Clear Creek"
"0","Clear Creek County Sheriff's Jail Operations","14-878","22-OCT-14","10003","GAME","Clear Creek"
"0","Clear Creek County Advocates","14-879","22-OCT-14","10003","GAME","Clear Creek"
"0","Clear Creek County Mt. Evans Home Health & Hospice","14-880","22-OCT-14","10003","GAME","Clear Creek"
"0","Clear Creek County Rock House Out-Reach","14-881","22-OCT-14","10003","GAME","Clear Creek"
"0","Clear Creek County Advocates","15-913","08-OCT-15","10003","GAME","Clear Creek"
"0","Clear Creek County 5th Judicial DA Impacts","15-914","08-OCT-15","10003","GAME","Clear Creek"
"0","Clear Creek County Rock House Out-Reach","15-915","08-OCT-15","10003","GAME","Clear Creek"
"0","Clear Creek County Mt. Evans Home Health & Hospice","15-916","08-OCT-15","10003","GAME","Clear Creek"
"25000","Clear Creek County Budget Assistance Tool/Fiscal Health","08143","09-MAR-16","10003","EIAF","Clear Creek"
"14000","Clear Creek County Diagnostic Tool Development/Fiscal Health","08144","09-MAR-16","10003","EIAF","Clear Creek"
"100000","Clear Creek Fire Authority Empire Fire Station","08282","05-DEC-16","10014","EIAF","Clear Creek"
"868992","Idaho Springs Colorado Blvd. W&S Reconstruction Phase 3","08305","05-DEC-16","10008","EIAF","Clear Creek"
"42000","Georgetown Best and Brightest Intern 2017-2018","08342","07-DEC-16","10007","EIAF","Clear Creek"
"25000","Georgetown Emergency Interim Town Administrator","08473","10-JUL-17","10007","EIAF","Clear Creek"
"83500","Georgetown Gateway Design","08500","20-OCT-17","10007","EIAF","Clear Creek"
"200000","Clear Creek Fire WHP Training Tower Construction","08501","20-OCT-17","10014","EIAF","Clear Creek"
"251370","Idaho Springs Soda Creek Road Reconstruction Project","08531","05-DEC-17","10008","EIAF","Clear Creek"
"22500","Idaho Springs Economic Land Use Study","08572","29-SEP-17","10008","EIAF","Clear Creek"
"46000","Idaho Springs Best and Brightest Intern 2018-2019","08585","22-NOV-17","10008","EIAF","Clear Creek"
"200000","City of Idaho Springs Wastewater Treatment Plant Expansion","08694","04-JUN-18","10008","EIAF","Clear Creek"
"200000","Clear Creek County Collaborative Care Center Engineering/Design Project","08757","01-AUG-18","10003","EIAF","Clear Creek"
"0","Clear Creek County Rock House Outreach","16-922","20-OCT-16","10003","GAME","Clear Creek"
"0","Clear Creek County Mt. Evans Home Health & Hospice","16-923","20-OCT-16","10003","GAME","Clear Creek"
"0","Clear Creek County Advocates","16-924","20-OCT-16","10003","GAME","Clear Creek"
"0","Clear Creek County 5th Judicial DA Impacts","16-925","20-OCT-16","10003","GAME","Clear Creek"
"49237","Clear Creek County Rock House Outreach","17-957","14-NOV-17","10003","GAME","Clear Creek"
"48950","Clear Creek County Mt. Evans Home Health & Hospice","17-958","14-NOV-17","10003","GAME","Clear Creek"
"45184","Clear Creek County Advocates","17-959","14-NOV-17","10003","GAME","Clear Creek"
"83485","Clear Creek County 5th Judicical DA Impacts","17-960","14-NOV-17","10003","GAME","Clear Creek"
"9845","Clear Creek County Jail Operations","17-961","14-NOV-17","10003","GAME","Clear Creek"
"28483","Clear Creek County Sheriff's Office Operations","17-962","14-NOV-17","10003","GAME","Clear Creek"
"26512","Divide FPD Operations","17-963","14-NOV-17","60019","GAME","Clear Creek"
"345000","Clear Creek County","14-592","27-JUN-14","10003","CDBGED","Clear Creek"
"73695","Clear Creek County/Gilpin County Broadband Development Plan","08232","04-AUG-16","10003","EIAF","Clear Creek, Gilpin"
"3000","Central City  Main Street Scholarship FY 16-17","08253","07-SEP-16","64263","EIAF","Clear Creek, Gilpin"
"70000","Region 10 Delta Catalytic Economic Development Support","00092","12-JUL-16","15006","REDI","Delta"
"1021869","Denver County 2015-2018 (L15CSBG13)","15-DENV","01-MAR-15",NA,"CSBG","Denver"
"166869","CSBG13-Denver County 2018-2021 (L18CSBG13)","18-DENV","30-SEP-17",NA,"CSBG","Denver"
"980000","UC Denver-University Technical Assistance Program","07161","15-APR-13",NA,"EIAF","Denver"
"1024967",NA,"12-DENV","01-MAR-12",NA,"CSBG","Denver"
"75000","Region 03 Community Development '16","09032","03-NOV-15",NA,"EIAF","Denver"
"1337582","UC Denver-University Technical Assistance Program","08584","14-NOV-17",NA,"EIAF","Denver"
"48816",NA,"12-DOUG","01-MAR-12",NA,"CSBG","Douglas"
"200000","Larkspur Domestic Water System Improvements","07336","15-OCT-13","18021","EIAF","Douglas"
"198000","West Douglas Cnty FPD Fire Rescue Wildland Interface Engine","07367","18-FEB-14","18034","EIAF","Douglas"
"1000","Castle Rock Cyber Security Symposium Scholarship","08595","06-DEC-17","18003","EIAF","Douglas"
"20000","Deer Creek WD Water Storage Tank Refurbishment","09063","24-FEB-16","66047","EIAF","Douglas"
"529471","El Paso County 2015-2018 (L15CSBG16)","15-ELPA","01-MAR-15",NA,"CSBG","El Paso"
"112115","CSBG16-El Paso County 2018-2021 (L18CSBG16)","18-ELPA","30-SEP-17",NA,"CSBG","El Paso"
"200000","Manitou Springs Storm Damage Repair Final Engineer Flood Rec","07433","27-JAN-14","21030","EIAF","El Paso"
"298","Fountain Managing Like A Futurist Workshop Scholarship","07879","13-APR-15","21026","EIAF","El Paso"
"4280",NA,"CSBG79D","10-JUN-16",NA,"CSBG","El Paso"
"0","Pikes Peak Area COG Sustainability Plan/Willdfire Mitigation","07192","06-JUN-13",NA,"EIAF","El Paso"
"300000","Forest View Water Dist. Water Distribution System Improve.","07221","14-AUG-13","21022","EIAF","El Paso"
